GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aec-parties-scraper,gameofmates.au.model,AUParty,401,0,28,0,88,0,47,0,33,0
aec-parties-scraper,gameofmates.au.aecparties.services,PartiesController,11,0,0,0,4,0,2,0,2,0
aec-parties-scraper,aec.gov.au.model,RegisteredPartiesCollection,6,14,0,0,2,6,2,3,2,3
aec-parties-scraper,aec.gov.au.model,Party,18,27,0,0,6,13,6,7,6,7
aec-parties-scraper,aec.gov.au.model,Info,6,17,0,0,2,7,2,3,2,3
aec-parties-scraper,gameofmates.au.aecparties.config,AecPartiesScraperConfig,37,0,0,0,8,0,6,0,6,0
aec-parties-scraper,gameofmates.au.aecparties,AecScraperApplication,5,3,0,0,2,1,1,1,1,1
aec-parties-scraper,gameofmates.au.aecparties.providers,RemoteAecPoliticalPartiesService,26,0,0,0,7,0,3,0,3,0
